date,open,high,low,close,volume
1999-11-01,18.9400,19.0000,18.7500,18.9400,871500
1999-11-02,18.9400,19.5000,18.8100,19.1300,414700
1999-11-03,19.3800,19.5000,18.8100,18.8800,406900
1999-11-04,18.9400,19.2500,18.8100,18.8100,335600
1999-11-05,19.0600,19.3800,18.6300,18.6900,613700
1999-11-08,18.6900,18.9400,18.6900,18.9400,267200
1999-11-09,18.7500,19.1900,18.3100,18.3100,841200
1999-11-10,18.3100,19.2500,18.3100,18.3800,335400
1999-11-11,18.7500,18.9400,18.3800,18.5000,218700
1999-11-12,18.6300,19.0000,18.5000,18.5600,225400
1999-11-15,18.5600,19.1300,18.5000,18.6900,825700
1999-11-16,19.0000,19.4400,18.5000,18.7500,315900
1999-11-17,18.3100,19.7500,18.3100,19.3100,946400
1999-11-18,19.2500,19.8800,18.8800,18.9400,425100
1999-11-19,18.9400,19.1900,18.7500,19.1300,544200
1999-11-22,19.1900,19.2500,18.6300,18.7500,502200
1999-11-23,18.6900,18.8100,18.5000,18.5600,229900
1999-11-24,18.5600,18.7500,18.3100,18.3800,422900
1999-11-26,18.5600,18.5600,18.3100,18.4400,584100
1999-11-29,18.6900,19.1900,18.5600,18.8100,628400
1999-11-30,18.7500,19.2500,18.7500,18.8800,540700
1999-12-01,19.0000,19.1300,18.8800,18.9400,369000
1999-12-02,18.9400,19.0600,18.3100,18.8800,677900
1999-12-03,18.6300,18.7500,18.5000,18.5600,388400
1999-12-06,18.4400,18.4400,18.2500,18.3800,586300
1999-12-07,18.3100,18.5600,18.2500,18.2500,300600
1999-12-08,18.2500,18.5000,18.2500,18.2500,369600
1999-12-09,18.2500,18.4400,18.0600,18.1900,445300
1999-12-10,18.1900,18.3800,18.0000,18.1300,325200
1999-12-13,18.0600,18.2500,18.0600,18.1900,359000
1999-12-14,18.1900,18.3800,17.9400,18.0000,430100
1999-12-15,18.1900,18.3100,18.0000,18.3100,222100
1999-12-16,18.3100,18.8100,18.1900,18.5000,841900
1999-12-17,18.5600,19.6900,18.5000,19.4400,2707500
1999-12-20,19.5600,19.5600,18.7500,19.0000,1299200
1999-12-21,19.0600,19.2500,18.8100,19.2500,843700
1999-12-22,19.2500,20.2500,19.0000,20.0000,1069900
1999-12-23,20.3800,20.5000,19.6300,20.0600,590300
1999-12-27,19.8100,20.1300,19.5600,19.6900,539500
1999-12-28,19.6900,19.9400,19.1900,19.6900,432000
1999-12-29,19.3800,19.7500,19.3100,19.7500,252300
1999-12-30,20.0000,20.9400,19.6300,20.5000,491400
1999-12-31,20.2500,20.3800,19.8100,20.1900,126600
2000-01-03,20.1900,20.5000,19.9400,20.0000,437000
2000-01-04,20.0000,20.4400,20.0000,20.1900,372100
2000-01-05,20.1900,20.3100,19.8100,20.1900,331400
2000-01-06,20.0600,20.0600,19.3800,19.8800,323600
2000-01-07,19.7500,20.2500,19.5000,20.1900,381100
2000-01-10,20.3800,20.4400,19.9400,20.3100,386300
2000-01-11,20.4400,20.8100,20.3100,20.5000,365700
2000-01-12,20.6300,20.6900,20.0600,20.0600,184500
2000-01-13,20.1900,20.2500,19.7500,20.0600,219400
2000-01-14,20.0600,20.3100,19.8100,20.0600,503300
2000-01-18,19.6900,20.1900,19.5600,20.0000,214800
2000-01-19,20.2500,20.5600,19.6900,20.5600,278300
2000-01-20,20.6300,20.6300,20.1300,20.2500,507900
2000-01-21,20.6900,20.6900,19.5600,19.8800,1014900
2000-01-24,20.0000,20.0000,19.1300,19.3100,278100
2000-01-25,19.5000,20.1900,19.1300,19.8800,345700
2000-01-26,19.8800,20.0000,19.5000,19.7500,153100
2000-01-27,20.0000,20.0000,18.8100,19.4400,357900
2000-01-28,19.5000,19.8100,19.1300,19.2500,248100
2000-01-31,19.2500,19.3100,18.7500,19.1900,397000
2000-02-01,19.3100,19.8100,19.1300,19.5600,355900
2000-02-02,19.7500,19.9400,19.2500,19.3800,314600
2000-02-03,19.6300,19.9400,19.5000,19.7500,232100
2000-02-04,19.6900,19.8800,19.5000,19.5600,383000
2000-02-07,19.5000,19.6900,18.9400,19.2500,356400
2000-02-08,19.2500,19.5000,19.1900,19.3800,413700
2000-02-09,19.3800,19.3800,18.7500,18.8800,211100
2000-02-10,18.8100,18.8800,18.5000,18.7500,371500
2000-02-11,18.6900,18.7500,18.3100,18.5000,461300
2000-02-14,18.3800,18.9700,18.1900,18.6300,340800
2000-02-15,18.8800,18.8800,18.0600,18.0600,373100
2000-02-16,18.8800,19.0600,18.5600,18.5600,724500
2000-02-17,18.5600,18.6900,17.6900,17.7500,484000
2000-02-18,18.2500,18.5600,17.6900,18.2500,911800
2000-02-22,18.5600,19.4400,18.3100,19.1300,832400
2000-02-23,18.6300,18.9400,18.3800,18.3800,314700
2000-02-24,18.3800,18.3800,16.9400,17.3800,453500
2000-02-25,17.4400,17.8800,17.0000,17.2500,513900
2000-02-28,17.2500,17.7500,17.0000,17.5600,1015100
2000-02-29,17.5600,17.7500,17.3100,17.3800,530600
2000-03-01,17.4400,17.5600,17.1900,17.3800,348600
2000-03-02,17.1900,17.4400,17.1300,17.3800,414200
2000-03-03,17.3100,17.6900,17.1300,17.5600,304800
2000-03-06,17.0000,17.3100,16.1900,16.5600,557400
2000-03-07,16.1900,16.3100,14.8100,15.3100,759800
2000-03-08,15.3800,15.8800,15.0000,15.2500,523100
2000-03-09,15.5000,16.1300,15.0600,15.5600,470000
2000-03-10,15.0000,15.2500,14.1300,14.5600,698300
2000-03-13,14.4400,15.4400,14.0000,15.0600,477800
2000-03-14,14.9400,15.0600,14.6900,15.0000,401800
2000-03-15,15.0600,15.0600,14.7500,15.0000,1201200
2000-03-16,15.2500,16.8800,15.1900,16.6900,812300
2000-03-17,16.0000,16.6300,15.8800,16.1300,903700
2000-03-20,16.0600,16.9400,16.0600,16.9400,463200
2000-03-21,16.7500,17.3100,16.5600,16.8100,574400
2000-03-22,16.8100,17.1900,15.4400,16.1300,363000
2000-03-23,16.3100,16.3100,15.6300,16.3100,235700
2000-03-24,16.4400,16.4400,15.3800,15.9400,378700
2000-03-27,15.9400,16.3800,15.5000,16.0000,327500
2000-03-28,15.7500,16.1300,15.5600,15.6300,197800
2000-03-29,15.5000,16.1900,15.5000,15.9400,251800
2000-03-30,15.8100,16.5000,15.8100,16.1900,261500
2000-03-31,16.2500,16.8800,16.2500,16.4400,261800
2000-04-03,16.1900,17.0000,16.1900,16.6900,204200
2000-04-04,16.9400,16.9400,15.1900,16.1900,398400
2000-04-05,16.2500,16.8100,15.6900,15.8100,387400
2000-04-06,15.5600,16.3100,15.4400,15.4400,223500
2000-04-07,15.5000,16.0000,15.3800,15.5600,263100
2000-04-10,15.3800,15.6900,15.2500,15.5600,176200
2000-04-11,15.5600,15.7500,15.1300,15.6900,203000
2000-04-12,15.6300,15.8100,15.2500,15.6900,335800
2000-04-13,15.5000,15.6600,14.5600,14.9400,260800
2000-04-14,15.0000,15.0000,14.0600,14.1300,318700
2000-04-17,13.9400,14.0600,13.3400,13.6300,407700
2000-04-18,13.1300,14.1300,13.1300,14.0600,299800
2000-04-19,13.8100,14.0600,13.6300,13.8100,81600
2000-04-20,13.9400,14.1300,13.6300,13.6900,167700
2000-04-24,13.7500,13.8800,13.6300,13.6300,338800
2000-04-25,13.6300,15.1900,13.4400,14.8800,529700
2000-04-26,15.2500,15.2500,14.5600,14.8100,441100
2000-04-27,14.3100,14.7500,14.1900,14.1900,318000
2000-04-28,14.1900,14.3100,13.7500,13.9400,212800
