ELYS,Consumer Cyclical
EMN,Basic Materials
ENPH,Technology
ENS,Industrials
ENZC,Healthcare
EOLS,Healthcare
EQNR,Energy
EQT,Energy
ERBB,Healthcare
ES,Utilities
ESPR,Healthcare
ET,Energy
ETSY,Consumer Cyclical
EVFM,Healthcare
EVGO,Consumer Cyclical
EVO,Healthcare
EXAS,Healthcare
EXEL,Healthcare
EXK,Basic Materials
EXPE,Consumer Cyclical
F,Consumer Cyclical
FAMI,Consumer Defensive
FANG,Energy
FAST,Industrials
FATH,Technology
FB,Communication Services
FBRX,Healthcare
FCEL,Industrials
FCX,Basic Materials
FDX,Industrials
FE,Utilities
FHS,Consumer Defensive
FIGS,Consumer Cyclical
FISV,Technology
FIZZ,Consumer Defensive
FLEX,Technology
FLUX,Industrials
FND,Consumer Cyclical
FNKO,Consumer Cyclical
FOLD,Healthcare
FOMC,Financial Services
FORW,Financial Services
FREE,Consumer Defensive
FSLR,Technology
FSLY,Technology
FSR,Consumer Cyclical
FTCH,Consumer Cyclical
FTNT,Technology
FUBO,Communication Services
FUTU,Financial Services
G,Technology
GBR,Real Estate
GCI,Communication Services
GDDY,Technology
GE,Industrials
GENI,Communication Services
GERN,Healthcare
GEVO,Basic Materials
GFAI,Industrials
GGAL,Financial Services
GGG,Industrials
GGII,Industrials
GGPI,Financial Services
GILD,Healthcare
GLASF,Healthcare
GLBE,Consumer Cyclical
GLPG,Healthcare
GLSI,Healthcare
GLW,Technology
GM,Consumer Cyclical
GMDA,Healthcare
GME,Consumer Cyclical
GMVD,Healthcare
GNCA,Healthcare
GNOG,Consumer Cyclical
GNPX,Healthcare
GNRC,Industrials
GOEV,Consumer Cyclical
GOGO,Communication Services
GOLD,Basic Materials
GOOG,Communication Services
GOOGL,Communication Services
GOOS,Consumer Cyclical
GP,Consumer Cyclical
GPN,Industrials
GPRO,Technology
GPS,Consumer Cyclical
GRIL,Consumer Cyclical
GRIN,Industrials
GRPN,Communication Services
GRWG,Consumer Cyclical
GS,Financial Services
GSK,Healthcare
GT,Consumer Cyclical
GTBIF,Healthcare
GTE,Energy
GVSI,Consumer Cyclical
GWSO,Technology
HAIN,Consumer Defensive
HARP,Healthcare
HAS,Consumer Cyclical
HCANF,Healthcare
HCC,Basic Materials
HD,Consumer Cyclical
HES,Energy
HGEN,Healthcare
HIMX,Technology
HLF,Consumer Defensive
HLGN,Utilities
HLT,Consumer Cyclical
HMBL,Technology
HMNY,Technology
HOG,Consumer Cyclical
HOOD,Technology
HOUR,Consumer Cyclical
HPE,Technology
HTBX,Healthcare
HTZ,Industrials
HUBS,Technology
HUM,Healthcare
HUT,Financial Services
HUYA,Communication Services
HZNP,Healthcare
IAC,Communication Services
IBIO,Healthcare
IBKR,Financial Services
IBM,Technology
ICOA,Communication Services
IDEX,Industrials
IFXY,Financial Services
IGC,Industrials
IGEX,Healthcare
IINN,Healthcare
ILMN,Healthcare
